sport,year,champion,mvp
basketball,2001-01-01,LAL,Allen Iverson
basketball,2002-01-01,LAL,Tim Duncan
basketball,2003-01-01,SAS,Tim Duncan
basketball,2004-01-01,DET,Kevin Garnett
basketball,2005-01-01,SAS,Steve Nash
basketball,2006-01-01,MIA,Steve Nash
basketball,2007-01-01,SAS,Dirk Nowitzki
basketball,2008-01-01,BOS,Kobe Bryant
basketball,2009-01-01,LAL,LeBron James
basketball,2010-01-01,LAL,LeBron James
basketball,2011-01-01,DAL,Derrick Rose
basketball,2012-01-01,MIA,LeBron James
basketball,2013-01-01,MIA,LeBron James
basketball,2014-01-01,SAS,Kevin Durant
basketball,2015-01-01,GSW,Stephen Curry
basketball,2016-01-01,CLE,Stephen Curry
basketball,2017-01-01,GSW,Russell Westbrook
basketball,2018-01-01,GSW,James Harden
basketball,2019-01-01,TOR,Giannis Antetokounmpo
basketball,2020-01-01,LAL,Giannis Antetokounmpo
basketball,2021-01-01,MIL,Nikola Jokić
baseball,2001-01-01,ARI,Barry Bonds
baseball,2001-01-01,ARI,Ichiro Suzuki
baseball,2002-01-01,LAA,Barry Bonds
baseball,2002-01-01,LAA,Miguel Tejada
baseball,2003-01-01,MIA,Barry Bonds
baseball,2003-01-01,MIA,Alex Rodriguez
baseball,2004-01-01,BOS,Barry Bonds
baseball,2004-01-01,BOS,Vladimir Guerrero
baseball,2005-01-01,CHW,Albert Pujols
baseball,2005-01-01,CHW,Alex Rodriguez
baseball,2006-01-01,STL,Ryan Howard
baseball,2006-01-01,STL,Justin Morneau
baseball,2007-01-01,BOS,Jimmy Rollins
baseball,2007-01-01,BOS,Alex Rodriguez
baseball,2008-01-01,PHI,Albert Pujols
baseball,2008-01-01,PHI,Dustin Pedroia
baseball,2009-01-01,NYY,Albert Pujols
baseball,2009-01-01,NYY,Joe Mauer
baseball,2010-01-01,SF,Joey Votto
baseball,2010-01-01,SF,Josh Hamilton
baseball,2011-01-01,STL,Ryan Braun
baseball,2011-01-01,STL,Justin Verlander
baseball,2012-01-01,SF,Buster Posey
baseball,2012-01-01,SF,Miguel Cabrera
baseball,2013-01-01,BOS,Andrew McCutchen
baseball,2013-01-01,BOS,Miguel Cabrera
baseball,2014-01-01,SF,Clayton Kershaw
baseball,2014-01-01,SF,Mike Trout
baseball,2015-01-01,KC,Bryce Harper
baseball,2015-01-01,KC,Josh Donaldson
baseball,2016-01-01,CHC,Kris Bryant
baseball,2016-01-01,CHC,Mike Trout
baseball,2017-01-01,HOU,Giancarlo Stanton
baseball,2017-01-01,HOU,Jose Altuve
baseball,2018-01-01,BOS,Christian Yelich
baseball,2018-01-01,BOS,Mookie Betts
baseball,2019-01-01,WAS,Cody Bellinger
baseball,2019-01-01,WAS,Mike Trout
baseball,2020-01-01,LAD,Freddie Freeman
baseball,2020-01-01,LAD,José Abreu
baseball,2021-01-01,ATL,Bryce Harper
baseball,2021-01-01,ATL,Shohei Ohtani
football,2001-01-01,NE,Kurt Warner
football,2002-01-01,TAM,Rich Gannon
football,2003-01-01,NE,Peyton Manning
football,2003-01-01,NE,Steve McNair
football,2004-01-01,NE,Peyton Manning
football,2005-01-01,PIT,Shaun Alexander
football,2006-01-01,IND,LaDainian Tomlinson
football,2007-01-01,NYG,Tom Brady
football,2008-01-01,PIT,Peyton Manning
football,2009-01-01,NOR,Peyton Manning
football,2010-01-01,GNB,Tom Brady
football,2011-01-01,NYG,Aaron Rodgers
football,2012-01-01,BAL,Adrian Peterson
football,2013-01-01,SEA,Peyton Manning
football,2014-01-01,NE,Aaron Rodgers
football,2015-01-01,DEN,Cam Newton
football,2016-01-01,NE,Matt Ryan
football,2017-01-01,PHI,Tom Brady
football,2018-01-01,NE,Patrick Mahomes
football,2019-01-01,KAN,Lamar Jackson
football,2020-01-01,TAM,Aaron Rodgers
football,2021-01-01,LAR,Aaron Rodgers
hockey,2001-01-01,COL,Joe Sakic
hockey,2002-01-01,DET,Jose Theodore
hockey,2003-01-01,NJD,Peter Forsberg
hockey,2004-01-01,TBL,Martin St. Louis
hockey,2005-01-01,null,null
hockey,2006-01-01,CAR,Joe Thornton
hockey,2007-01-01,ANA,Sidney Crosby
hockey,2008-01-01,DET,Alex Ovechkin
hockey,2009-01-01,PIT,Alex Ovechkin
hockey,2010-01-01,CHI,Henrik Sedin
hockey,2011-01-01,BOS,Corey Perry
hockey,2012-01-01,LAK,Evgeni Malkin
hockey,2013-01-01,CHI,Alex Ovechkin
hockey,2014-01-01,LAK,Sidney Crosby
hockey,2015-01-01,CHI,Carey Price
hockey,2016-01-01,PIT,Patrick Kane
hockey,2017-01-01,PIT,Connor McDavid
hockey,2018-01-01,WSH,Taylor Hall
hockey,2019-01-01,STL,Nikita Kucherov
hockey,2020-01-01,TBL,Leon Draisaitl
hockey,2021-01-01,TBL,Connor McDavid
