teamName,sport,year,wins,losses
Los Angeles Lakers,NBA,2001-01-01,56,26
Los Angeles Clippers,NBA,2021-01-01,47,25
Los Angeles Clippers,NBA,2001-01-01,31,51
Oakland Athletics,MLB,2002-01-01,103,59
Los Angeles Dodgers,MLB,2001-01-01,86,76
Philadelphia Phillies,MLB,2001-01-01,86,76
New York Mets,MLB,2001-01-01,82,80
Nashville Predators,NHL,2001-01-01,34,36
New York Islanders,NHL,2001-01-01,21,51
New York Rangers,NHL,2001-01-01,33,43
Los Angeles Kings,NHL,2001-01-01,38,28
Los Angeles Rams,NFL,2021-01-01,12,5
New York Jets,NFL,2001-01-01,10,6
