teamName,sport,metroAreaName
ANA,hockey,LosAngeles
ARI,football,Phoenix
ARI,hockey,Phoenix
ARI,baseball,Phoenix
ATL,baseball,Atlanta
ATL,football,Atlanta
ATL,basketball,Atlanta
ATL,hockey,Atlanta
BAL,baseball,Baltimore
BAL,football,Baltimore
BOS,hockey,Boston
BOS,basketball,Boston
BOS,baseball,Boston
BKN,basketball,NewYorkCity
BUF,football,Buffalo
BUF,hockey,Buffalo
CGY,hockey,null
CAR,hockey,Raleigh
CAR,football,Charlotte
CHB,basketball,Charlotte
CHA,basketball,Charlotte
CHI,football,Chicago
CHI,hockey,Chicago
CHI,basketball,Chicago
CHC,baseball,Chicago
CHW,baseball,Chicago
CIN,football,Cincinnati
CIN,baseball,Cincinnati
CLE,football,Cleveland
CLE,basketball,Cleveland
CLE,baseball,Cleveland
COL,hockey,Denver
COL,baseball,Denver
CBL,hockey,Columbus
DAL,football,Dallas
DAL,basketball,Dallas
DAL,hockey,Dallas
DEN,football,Denver
DEN,basketball,Denver
DET,football,Detroit
DET,basketball,Detroit
DET,hockey,Detroit
DET,baseball,Detroit
EDM,hockey,null
FLA,hockey,Miami
GSW,basketball,SanFrancisco
GNB,football,Greebasketbally
HOU,baseball,Houston
HOU,basketball,Houston
HOU,football,Houston
IND,basketball,Indianapolis
IND,football,Indianapolis
JAX,football,Jacksonville
KAN,football,KansasCity
KC,baseball,KansasCity
LVR,football,LasVegas
LAA,baseball,LosAngeles
LAC,football,LosAngeles
LAC,basketball,LosAngeles
LAD,baseball,LosAngeles
LAK,hockey,LosAngeles
LAL,basketball,LosAngeles
LAR,football,LosAngeles
MEM,basketball,Memphis
MIA,football,Miami
MIA,basketball,Miami
MIA,baseball,Miami
MIL,baseball,Milwaukee
MIL,basketball,Milwaukee
MIN,basketball,Minneapolis
MIN,baseball,Minneapolis
MIN,football,Minneapolis
MIN,hockey,Minneapolis
MTL,hockey,null
MTL,baseball,null
NSH,hockey,Nashville
NE,football,Boston
NJD,hockey,NewYorkCity
NJN,basketball,NewYorkCity
NOH,basketball,NewOrleans
NOP,basketball,NewOrleans
NOR,football,NewOrleans
NYG,football,NewYorkCity
NYI,hockey,NewYorkCity
NYJ,football,NewYorkCity
NYK,basketball,NewYorkCity
NYM,baseball,NewYorkCity
NYR,hockey,NewYorkCity
NYY,baseball,NewYorkCity
OAK,baseball,SanFrancisco
OAK,football,SanFrancisco
OKC,basketball,OklahomaCity
ORL,basketball,Orlando
OTT,hockey,null
PHI,basketball,Philadelphia
PHI,football,Philadelphia
PHI,hockey,Philadelphia
PHI,baseball,Philadelphia
PHX,hockey,Phoenix
PHX,basketball,Phoenix
PIT,hockey,Pittsburgh
PIT,baseball,Pittsburgh
PIT,football,Pittsburgh
POR,basketball,Portland
SAC,basketball,Sacramento
SAS,basketball,SanAntonio
SDG,football,SanDiego
SD,baseball,SanDiego
SFO,football,SanFrancisco
SF,baseball,SanFrancisco
SJS,hockey,SanFrancisco
SEA,baseball,Seattle
SEA,football,Seattle
SEA,basketball,Seattle
STL,hockey,StLouis
STL,baseball,StLouis
STL,football,StLouis
TAM,football,Tampa
TB,baseball,Tampa
TBL,hockey,Tampa
TEN,football,Nashville
TEX,baseball,Dallas
TOR,baseball,null
TOR,hockey,null
TOR,basketball,null
UTA,basketball,SaltLakeCity
VAN,hockey,null
VAN,basketball,null
VEG,hockey,LasVegas
WSH,hockey,WashingtonDC
WAS,baseball,WashingtonDC
WAS,football,WashingtonDC
WAS,basketball,WashingtonDC
WPG,hockey,null
