metroAreaName,year,gdp,averageHousePrice,population
LosAngeles,2001-01-01,518030.432,137.47,12525.736
LosAngeles,2002-01-01,536607.733,152.04,12634.977
LosAngeles,2019-01-01,1055570.39,362.24,13182.453
LosAngeles,2020-01-01,1007037.066,375.83,13173.266
NewYorkCity,2001-01-01,943455.215,143.96,18490.029
NewYorkCity,2002-01-01,956748.499,159.38,18590.085
NewYorkCity,2003-01-01,978374.463,177.85,18671.32
Portland,2001-01-01,78051.475,138.77,1975.589
Portland,2019-01-01,170986.486,314.23,2492.479
Portland,2020-01-01,168380.262,326.93,2516.23
