metroAreaName,year,gdp,averageHousePrice,population
KansasCity,2001-01-01,74210.565,139.98,1865.245
KansasCity,2002-01-01,77592.784,147.87,1890.419
KansasCity,2003-01-01,80109.356,154.51,1912.368
KansasCity,2004-01-01,83733.728,160.96,1935.84
KansasCity,2005-01-01,88485.808,169.77,1958.504
KansasCity,2006-01-01,93927.088,175.84,1984.954
KansasCity,2007-01-01,99051.447,178.39,2011.857
KansasCity,2008-01-01,102847.789,176.89,2046.083
KansasCity,2009-01-01,101841.55,173.51,2067.585
KansasCity,2010-01-01,102106.923,164.95,2013.423
KansasCity,2011-01-01,103894.28,160.96,2025.864
KansasCity,2012-01-01,110105.218,158.32,2039.21
KansasCity,2013-01-01,113339.423,159.14,2054.764
KansasCity,2014-01-01,118482.056,161.08,2070.383
KansasCity,2015-01-01,124786.888,168.65,2087.407
KansasCity,2016-01-01,126241.319,177.5,2108.768
KansasCity,2017-01-01,131229.263,188.48,2129.425
KansasCity,2018-01-01,136891.092,204.55,2147.602
KansasCity,2019-01-01,143143.828,216.77,2161.639
KansasCity,2020-01-01,142503.483,229.09,2193.578
Denver,2001-01-01,107439.627,164.87,2246.785
Denver,2002-01-01,109575.857,175.16,2276.25
Denver,2003-01-01,111826.233,180.63,2297.441
Denver,2004-01-01,115122.352,185.37,2321.712
Denver,2005-01-01,123337.59,191.65,2353.518
Denver,2006-01-01,129242.845,196.08,2399.62
Denver,2007-01-01,138503.714,195.67,2449.476
Denver,2008-01-01,140775.522,193.27,2500.384
Denver,2009-01-01,138281.399,193.05,2552.195
Denver,2010-01-01,142517.164,185.77,2554.588
Denver,2011-01-01,147392.855,182.42,2603.261
Denver,2012-01-01,154899.048,182.64,2650.895
Denver,2013-01-01,164035.645,193.3,2701.454
Denver,2014-01-01,173826.485,211.85,2755.153
Denver,2015-01-01,184611.894,234.2,2814.383
Denver,2016-01-01,190857.987,264.32,2858.489
Denver,2017-01-01,199940.107,292.11,2893.661
Denver,2018-01-01,213146.127,321,2933.991
Denver,2019-01-01,227259.597,338.7,2964.811
Denver,2020-01-01,223145.76,351.67,2969.289
Tampa,2001-01-01,80171.426,139.22,2442.189
Tampa,2002-01-01,85318.547,151.34,2483.575
Tampa,2003-01-01,91144.945,165.24,2522.78
Tampa,2004-01-01,99483.963,184.35,2578.104
Tampa,2005-01-01,107620.219,220.77,2638.814
Tampa,2006-01-01,113539.032,277.85,2684.639
Tampa,2007-01-01,117748.606,288.23,2711.222
Tampa,2008-01-01,115724.104,256.93,2730.007
Tampa,2009-01-01,113934.961,215.17,2747.272
Tampa,2010-01-01,115728.996,187.16,2788.433
Tampa,2011-01-01,117019.432,169.58,2813.619
Tampa,2012-01-01,121305.114,164.93,2844.256
Tampa,2013-01-01,126082.901,171.37,2881.451
Tampa,2014-01-01,131043.519,190.99,2928.605
Tampa,2015-01-01,139192.472,206.98,2985.475
Tampa,2016-01-01,145593.768,227.14,3051.607
Tampa,2017-01-01,150980.261,250.91,3110.278
Tampa,2018-01-01,159127.777,276.48,3158.674
Tampa,2019-01-01,168393.558,296,3200.12
Tampa,2020-01-01,169269.54,317.2,3183.385
Charlotte,2001-01-01,75277.795,134.42,1375.381
Charlotte,2002-01-01,78528.498,137.93,1406.699
Charlotte,2003-01-01,83204.289,141.74,1436.89
Charlotte,2004-01-01,90411.665,145.31,1471.706
Charlotte,2005-01-01,99791.691,150.23,1519.448
Charlotte,2006-01-01,110214.797,159.14,1583.869
Charlotte,2007-01-01,114836.847,170.59,1650.974
Charlotte,2008-01-01,123791.47,179.39,1706.469
Charlotte,2009-01-01,114759.198,178.87,1745.524
Charlotte,2010-01-01,112359.74,163.54,2250.187
Charlotte,2011-01-01,119986.73,157.71,2281.611
Charlotte,2012-01-01,130053.823,152.03,2319.298
Charlotte,2013-01-01,132613.851,154.3,2359.584
Charlotte,2014-01-01,140082.542,160.7,2401.734
Charlotte,2015-01-01,149619.312,171.25,2449.506
Charlotte,2016-01-01,157078.376,181.34,2501.838
Charlotte,2017-01-01,168758.726,193.12,2552.701
Charlotte,2018-01-01,175993.277,209.25,2596.204
Charlotte,2019-01-01,184482.639,223.71,2640.117
Charlotte,2020-01-01,184818.577,237.47,2669.665
NewOrleans,2001-01-01,46150.66,135.93,1311.131
NewOrleans,2002-01-01,47337.444,141.38,1311.39
NewOrleans,2003-01-01,52466.091,149.77,1312.039
NewOrleans,2004-01-01,56699.662,159.21,1314.721
NewOrleans,2005-01-01,64529.139,171.59,1313.46
NewOrleans,2006-01-01,64301.035,194.83,987.535
NewOrleans,2007-01-01,65713.077,209.09,1109.415
NewOrleans,2008-01-01,71771.135,206.21,1168.547
NewOrleans,2009-01-01,68750.185,201.66,1189.981
NewOrleans,2010-01-01,80717.021,191.5,1195.368
NewOrleans,2011-01-01,68739.918,188.35,1214.209
NewOrleans,2012-01-01,72043.147,188.94,1227.264
NewOrleans,2013-01-01,69454.296,192,1240.094
NewOrleans,2014-01-01,71319.855,194.71,1249.547
NewOrleans,2015-01-01,71547.251,206.61,1261.063
NewOrleans,2016-01-01,71144.655,215.82,1268.633
NewOrleans,2017-01-01,79156.871,221.19,1271.46
NewOrleans,2018-01-01,82668.771,229.76,1271.921
NewOrleans,2019-01-01,83271.87,237.01,1273.979
NewOrleans,2020-01-01,76382.297,247.47,1270.366
SanDiego,2001-01-01,115056.794,154.93,2867.094
SanDiego,2002-01-01,122438.054,173.47,2901.235
SanDiego,2003-01-01,131143.091,202.44,2926.814
SanDiego,2004-01-01,141858.951,238.9,2935.672
SanDiego,2005-01-01,152878.644,301.16,2941.77
SanDiego,2006-01-01,160656.914,324.82,2947.222
SanDiego,2007-01-01,167416.333,313.46,2975.656
SanDiego,2008-01-01,168273.109,274.22,3019.274
SanDiego,2009-01-01,164417.694,231.42,3053.793
SanDiego,2010-01-01,167899.892,222.07,3103.26
SanDiego,2011-01-01,173264.401,216.12,3137.236
SanDiego,2012-01-01,178241.243,211.69,3175.148
SanDiego,2013-01-01,188473.15,224.92,3210.788
SanDiego,2014-01-01,197247.964,258.76,3249.307
SanDiego,2015-01-01,207514.333,272.02,3280.825
SanDiego,2016-01-01,211862.374,290.45,3305.462
SanDiego,2017-01-01,222238.592,309.34,3319.019
SanDiego,2018-01-01,232579.152,332.29,3332.483
SanDiego,2019-01-01,242950.042,341.86,3330.459
SanDiego,2020-01-01,240411.072,355.71,3297.252
Philadelphia,2001-01-01,242677.437,121.4,5722.541
Philadelphia,2002-01-01,249723.979,132.93,5755.874
Philadelphia,2003-01-01,264853.371,146.68,5787.788
Philadelphia,2004-01-01,282314.654,164.62,5822.876
Philadelphia,2005-01-01,293826.002,192.66,5850.621
Philadelphia,2006-01-01,306907.953,219.84,5880.912
Philadelphia,2007-01-01,326976.468,231.45,5912.678
Philadelphia,2008-01-01,340107.723,234.23,5940.496
Philadelphia,2009-01-01,334234.964,229.64,5968.252
Philadelphia,2010-01-01,343539.465,219.89,5971.202
Philadelphia,2011-01-01,351690.659,215.68,5996.995
Philadelphia,2012-01-01,367778.658,211.89,6017.788
Philadelphia,2013-01-01,377541.289,211.31,6031.789
Philadelphia,2014-01-01,394728.109,214.35,6049.852
Philadelphia,2015-01-01,407824.145,221.52,6060.137
Philadelphia,2016-01-01,414883.706,225.92,6070.16
Philadelphia,2017-01-01,418695.981,238.18,6082.355
Philadelphia,2018-01-01,435423.852,253.55,6096.805
Philadelphia,2019-01-01,450742.192,265.8,6104.777
Philadelphia,2020-01-01,439055.118,281.53,6241.983
SanFrancisco,2001-01-01,240223.331,190.37,4179.628
SanFrancisco,2002-01-01,238126.362,195.46,4165.678
SanFrancisco,2003-01-01,246289.538,208.99,4153.143
SanFrancisco,2004-01-01,256414.07,223.15,4143.522
SanFrancisco,2005-01-01,278166.393,267.21,4149.607
SanFrancisco,2006-01-01,296377.341,306.13,4162.783
SanFrancisco,2007-01-01,307604.98,307.65,4202.186
SanFrancisco,2008-01-01,324695.029,292.1,4260.236
SanFrancisco,2009-01-01,309329.272,262.52,4317.853
SanFrancisco,2010-01-01,316779.481,249.09,4343.886
SanFrancisco,2011-01-01,329715.792,242.43,4396.273
SanFrancisco,2012-01-01,363995.871,239.74,4455.918
SanFrancisco,2013-01-01,382609.214,263.33,4520.028
SanFrancisco,2014-01-01,412207.012,302.61,4585.277
SanFrancisco,2015-01-01,443406.281,335.93,4648.164
SanFrancisco,2016-01-01,472395.545,379.68,4688.017
SanFrancisco,2017-01-01,519358.95,396.17,4711.551
SanFrancisco,2018-01-01,562046.311,426.74,4725.613
SanFrancisco,2019-01-01,595294.62,440.57,4724.016
SanFrancisco,2020-01-01,588335.543,434.69,4739.649
Nashville,2001-01-01,55210.23,133.91,1343.263
Nashville,2002-01-01,58449.462,137.56,1363.834
Nashville,2003-01-01,62324.173,141.21,1386.743
Nashville,2004-01-01,67391.295,146.12,1416.452
Nashville,2005-01-01,71694.203,154.4,1450.538
Nashville,2006-01-01,76399.403,167.87,1489.156
Nashville,2007-01-01,78690.183,180.72,1524.92
Nashville,2008-01-01,82386.635,185.52,1556.368
Nashville,2009-01-01,82424.916,183.79,1582.264
Nashville,2010-01-01,84329.433,173.82,1650.887
Nashville,2011-01-01,88611.937,169.62,1674.83
Nashville,2012-01-01,95678.321,169.43,1704.175
Nashville,2013-01-01,99658.77,173.1,1735.823
Nashville,2014-01-01,106076.074,183.4,1769.402
Nashville,2015-01-01,116117.899,197.68,1805.988
Nashville,2016-01-01,122032.635,214.93,1843.004
Nashville,2017-01-01,128238.526,235.94,1876.449
Nashville,2018-01-01,133679.614,257.2,1906.794
Nashville,2019-01-01,141822.07,273.98,1933.455
Nashville,2020-01-01,136058.47,289.64,1995.343
Jacksonville,2001-01-01,41665.151,139.46,1148.044
Jacksonville,2002-01-01,43942.469,149.44,1172.801
Jacksonville,2003-01-01,47142.847,162.18,1194.706
