playerID,sport,playerName,hallOfFame
anstech01,basketball,Chris Anstey,0
armstbj01,basketball,B.J. Armstrong,0
aventan01,basketball,Anthony Avent,0
baileto01,basketball,Toby Bailey,0
barklch01,basketball,Charles Barkley,1
barrydr01,basketball,Drew Barry,0
benjabe01,basketball,Benoit Benjamin,0
bennema01,basketball,Mario Bennett,0
borrela01,basketball,Lazaro Borrell,0
bramlaj01,basketball,A.J. Bramlett,0
brownma01,basketball,Marcus Brown,0
cagemi01,basketball,Michael Cage,0
carran01,basketball,Antoine Carr,0
celesjo01,basketball,John Celestand,0
chapmre01,basketball,Rex Chapman,0
chilcpe01,basketball,Pete Chilcutt,0
closske01,basketball,Keith Closs,0
conloma01,basketball,Marty Conlon,0
cummite01,basketball,Terry Cummings,0
davisbe01,basketball,Ben Davis,0
davisma02,basketball,Mark Davis,0
ellisda01,basketball,Dale Ellis,0
farmeto01,basketball,Tony Farmer,0
garriki01,basketball,Kiwane Lemorris Garris,0
gilliar01,basketball,Armen Gilliam,0
grayde01,basketball,Devin Gray,0
hamilth01,basketball,Thomas Hamilton,0
hendrma01,basketball,Mark Hendrickson,0
hoodde01,basketball,Derek Hood,0
hornaje01,basketball,Jeff Hornacek,0
hugheri02,basketball,Rick Hughes,0
jacksra02,basketball,Randell Jackson,0
johnsde02,basketball,DeMarco Johnson,0
johnske02,basketball,Kevin Johnson,0
jonesch03,basketball,Charles Jones,0
jordare01,basketball,Reggie Jordan,0
kleinjo01,basketball,Joe Kleine,0
langan01,basketball,Andrew Lang,0
langan02,basketball,Antonio Lang,0
legleti01,basketball,Tim Legler,0
miskija01,basketball,Jason Miskiri,0
murdoer01,basketball,Eric Murdock,0
muresgh01,basketball,Gheorghe Mureșan,0
pattean01,basketball,Andrae Patterson,0
persoch01,basketball,Chuck Person,0
phillbo01,basketball,Bobby Phills,0
reevekh01,basketball,Khalid Reeves,0
rhodero01,basketball,Rodrick Rhodes,0
roberst01,basketball,Stanley Roberts,0
roberry01,basketball,Ryan Robertson,0
rodmade01,basketball,Dennis Rodman,1
rogerro02,basketball,Roy Rogers,0
sallejo01,basketball,John Salley,0
scottde01,basketball,Dennis Scott,0
sealyma01,basketball,Malik Sealy,0
smitsri01,basketball,Rik Smits,0
stackry01,basketball,Ryan Stack,0
stephjo01,basketball,Joe Stephens,0
taylojo01,basketball,Johnny Taylor,0
turkcmi01,basketball,Mirsad Türkcan,0
turnewa01,basketball,Wayne Turner,0
vinsofr01,basketball,Fred Vinson,0
waltere01,basketball,Rex Walters,0
wennibi01,basketball,Bill Wennington,0
westma01,basketball,Mark West,0
willilo01,basketball,Lorenzo Williams,0
willode01,basketball,Dedric Willoughby,0
workmha01,basketball,Haywoode Workman,0
youngti01,basketball,Tim Young,0
abdulma02,basketball,Mahmoud Abdul-Rauf,0
benoida01,basketball,David Benoit,0
boguemu01,basketball,Muggsy Bogues,0
bohanet01,basketball,Etdrick Bohannon,0
burresc01,basketball,Scott Burrell,0
carrch01,basketball,Chris Carr,0
causwdu01,basketball,Duane Causwell,0
cebalce01,basketball,Cedric Ceballos,0
cokerjo01,basketball,John Coker,0
colsose01,basketball,Sean Colson,0
corbity01,basketball,Tyrone Corbin,0
curlebi01,basketball,Bill Curley,0
davidko01,basketball,Kornél Dávid,0
daviste01,basketball,Terry Davis,0
dayto01,basketball,Todd Day,0
douglsh01,basketball,Sherman Douglas,0
edneyty01,basketball,Tyus Edney,0
edwarke01,basketball,Kevin Edwards,0
elamikh01,basketball,Khalid El-Amin,0
eliema01,basketball,Mario Elie,0
elliose01,basketball,Sean Elliott,0
ellispe01,basketball,Pervis Ellison,0
feickja01,basketball,Jamie Feick,0
fulleto02,basketball,Todd Fuller,0
garceru01,basketball,Rubén Garcés,0
garnech01,basketball,Chris Garner,0
grantga01,basketball,Gary Grant,0
greenac01,basketball,A.C. Green,0
hammoto01,basketball,Tom Hammonds,0
harpero01,basketball,Ron Harper,0
hawkihe01,basketball,Hersey Hawkins,0
hawkimi01,basketball,Michael Hawkins,0
herrech01,basketball,Chris Herren,0
jacobsa01,basketball,Sam Jacobson,0
johnsla02,basketball,Larry Johnson,0
josepga01,basketball,Garth Joseph,0
keefead01,basketball,Adam Keefe,0
kerseje01,basketball,Jerome Kersey,0
ketnela01,basketball,Lari Ketner,0
kingge02,basketball,Gerard King,0
longllu01,basketball,Luc Longley,0
macledo01,basketball,Don MacLean,0
maxweve01,basketball,Vernon Maxwell,0
mcclida01,basketball,Dan McClintock,0
mcilvji01,basketball,Jim McIlvaine,0
mcleoro01,basketball,Roshown McLeod,0
mcphepa01,basketball,Paul McPherson,0
millste01,basketball,Terry Mills,0
mullich01,basketball,Chris Mullin,1
owensbi01,basketball,Billy Owens,0
pankoan01,basketball,Andy Panko,0
perduwi01,basketball,Will Perdue,0
perkisa01,basketball,Sam Perkins,0
portech01,basketball,Chris Porter,0
reevebr01,basketball,Bryant Reeves,0
reidjr01,basketball,J.R. Reid,0
roberte01,basketball,Terrance Roberson,0
robinja03,basketball,Jamal Robinson,0
robinja02,basketball,James Robinson,0
schrede01,basketball,Detlef Schrempf,0
smithmi02,basketball,Michael Smith,0
smithmi03,basketball,Mike Smith,0
smithto02,basketball,Tony Smith,0
stronde01,basketball,Derek Strong,0
tabakza01,basketball,Žan Tabak,0
tarladr01,basketball,Dragan Tarlać,0
thomaja01,basketball,Jamel Thomas,0
thorpot01,basketball,Otis Thorpe,0
vanteda01,basketball,David Vanterpool,0
vaughlo01,basketball,Loy Vaught,0
westdo01,basketball,Doug West,0
wingada01,basketball,David Wingate,0
alexavi01,basketball,Victor Alexander,0
anderni01,basketball,Nick Anderson,0
anthogr01,basketball,Greg Anthony,0
austiis01,basketball,Isaac Austin,0
averywi01,basketball,William Avery,0
barkler01,basketball,Erick Barkley,0
blaylmo01,basketball,Mookie Blaylock,0
bowdlca01,basketball,Cal Bowdler,0
bowmair01,basketball,Ira Bowman,0
brandte01,basketball,Terrell Brandon,0
brownch01,basketball,Chucky Brown,0
brownde01,basketball,Dee Brown,0
browner01,basketball,Ernest Brown,0
buechju01,basketball,Jud Buechler,0
bullama01,basketball,Matt Bullard,0
crispjo01,basketball,Joe Crispin,0
cummivo01,basketball,Vonteego Cummings,0
curryde01,basketball,Dell Curry,0
delnevi01,basketball,Vinny Del Negro,0
ewingpa01,basketball,Patrick Ewing,1
fontais01,basketball,Isaac Fontaine,0
fotsian01,basketball,Antonis Fotsis,0
garrede01,basketball,Dean Garrett,0
gatlich01,basketball,Chris Gatling,0
geigema01,basketball,Matt Geiger,0
goodrst01,basketball,Steve Goodrich,0
hamilta01,basketball,Tang Hamilton,0
hendece02,basketball,Cedric Henderson,0
jacksja01,basketball,Jaren Jackson,0
jamesti01,basketball,Tim James,0
jamisha01,basketball,Harold Jamison,0
jonesal01,basketball,Alvin Jones,0
langdtr01,basketball,Trajan Langdon,0
lopezfe01,basketball,Felipe López,0
macksa01,basketball,Sam Mack,0
majerda01,basketball,Dan Majerle,0
mccloge01,basketball,George McCloud,0
mckeyde01,basketball,Derrick McKey,0
mitchsa01,basketball,Sam Mitchell,0
montrer01,basketball,Eric Montross,0
mottoha01,basketball,Hanno Möttölä,0
nesbyty01,basketball,Tyrone Nesby,0
newmajo01,basketball,Johnny Newman,0
olajuha01,basketball,Hakeem Olajuwon,1
penbemi01,basketball,Mike Penberthy,0
