playerID,sport,teamName,year
abdulta01,basketball,TOT,2000-01-01
abdulta01,basketball,ORL,2000-01-01
abdulta01,basketball,DEN,2000-01-01
abdursh01,basketball,VAN,2000-01-01
alexaco01,basketball,DEN,2000-01-01
allenra02,basketball,MIL,2000-01-01
alstora01,basketball,MIL,2000-01-01
amaecjo01,basketball,ORL,2000-01-01
anderde01,basketball,LAC,2000-01-01
anderke01,basketball,BOS,2000-01-01
anderni01,basketball,SAC,2000-01-01
andersh01,basketball,HOU,2000-01-01
anstech01,basketball,CHI,2000-01-01
anthogr01,basketball,POR,2000-01-01
armstbj01,basketball,CHI,2000-01-01
armstda01,basketball,ORL,2000-01-01
atkinch01,basketball,ORL,2000-01-01
augmost01,basketball,POR,2000-01-01
austiis01,basketball,WAS,2000-01-01
aventan01,basketball,LAC,2000-01-01
averywi01,basketball,MIN,2000-01-01
baileto01,basketball,PHO,2000-01-01
bakervi01,basketball,SEA,2000-01-01
barklch01,basketball,HOU,2000-01-01
barroda01,basketball,BOS,2000-01-01
barrybr01,basketball,SEA,2000-01-01
barrydr01,basketball,TOT,2000-01-01
barrydr01,basketball,GSW,2000-01-01
barrydr01,basketball,ATL,2000-01-01
barryjo01,basketball,SAC,2000-01-01
battito01,basketball,BOS,2000-01-01
bendejo01,basketball,IND,2000-01-01
benjabe01,basketball,CLE,2000-01-01
benjaco01,basketball,CHI,2000-01-01
bennema01,basketball,LAC,2000-01-01
besttr01,basketball,IND,2000-01-01
bibbymi01,basketball,VAN,2000-01-01
billuch01,basketball,DEN,2000-01-01
blaylmo01,basketball,GSW,2000-01-01
blounco01,basketball,PHO,2000-01-01
boguemu01,basketball,TOR,2000-01-01
bohanet01,basketball,TOT,2000-01-01
bohanet01,basketball,NYK,2000-01-01
bohanet01,basketball,LAC,2000-01-01
boothca01,basketball,WAS,2000-01-01
borrela01,basketball,SEA,2000-01-01
bowdlca01,basketball,ATL,2000-01-01
bowenbr01,basketball,TOT,2000-01-01
bowenbr01,basketball,PHI,2000-01-01
bowenbr01,basketball,MIA,2000-01-01
bowenry01,basketball,DEN,2000-01-01
bowmair01,basketball,PHI,2000-01-01
boykiea01,basketball,TOT,2000-01-01
boykiea01,basketball,ORL,2000-01-01
boykiea01,basketball,CLE,2000-01-01
bradlsh01,basketball,DAL,2000-01-01
bramlaj01,basketball,CLE,2000-01-01
brandel01,basketball,CHI,2000-01-01
brandte01,basketball,MIN,2000-01-01
brownch01,basketball,TOT,2000-01-01
brownch01,basketball,SAS,2000-01-01
brownch01,basketball,CHH,2000-01-01
brownde01,basketball,TOR,2000-01-01
brownma01,basketball,DET,2000-01-01
brownpj01,basketball,MIA,2000-01-01
brownra02,basketball,CHI,2000-01-01
brunsri01,basketball,NYK,2000-01-01
bryanko01,basketball,LAL,2000-01-01
bryanma01,basketball,CLE,2000-01-01
buckngr01,basketball,DAL,2000-01-01
buechju01,basketball,DET,2000-01-01
buforro01,basketball,MIA,2000-01-01
bullama01,basketball,HOU,2000-01-01
burresc01,basketball,NJN,2000-01-01
caffeja01,basketball,GSW,2000-01-01
cagemi01,basketball,NJN,2000-01-01
cambyma01,basketball,NYK,2000-01-01
campbel01,basketball,CHH,2000-01-01
carran01,basketball,VAN,2000-01-01
carrch01,basketball,TOT,2000-01-01
carrch01,basketball,GSW,2000-01-01
carrch01,basketball,CHI,2000-01-01
cartean01,basketball,MIA,2000-01-01
cartevi01,basketball,TOR,2000-01-01
cassesa01,basketball,MIL,2000-01-01
catoke01,basketball,HOU,2000-01-01
causwdu01,basketball,MIA,2000-01-01
cebalce01,basketball,DAL,2000-01-01
celesjo01,basketball,LAL,2000-01-01
chapmre01,basketball,PHO,2000-01-01
cheanca01,basketball,BOS,2000-01-01
chilcpe01,basketball,TOT,2000-01-01
chilcpe01,basketball,UTA,2000-01-01
chilcpe01,basketball,CLE,2000-01-01
chilcpe01,basketball,LAC,2000-01-01
childch01,basketball,NYK,2000-01-01
chrisdo01,basketball,TOR,2000-01-01
clarkke01,basketball,DEN,2000-01-01
closske01,basketball,LAC,2000-01-01
colemde01,basketball,CHH,2000-01-01
colesbi01,basketball,ATL,2000-01-01
conloma01,basketball,LAC,2000-01-01
corbity01,basketball,SAC,2000-01-01
crawfch01,basketball,ATL,2000-01-01
croshau01,basketball,IND,2000-01-01
crottjo01,basketball,DET,2000-01-01
cummite01,basketball,GSW,2000-01-01
cummivo01,basketball,GSW,2000-01-01
curlebi01,basketball,TOT,2000-01-01
curlebi01,basketball,HOU,2000-01-01
curlebi01,basketball,GSW,2000-01-01
curryde01,basketball,TOR,2000-01-01
currymi01,basketball,DET,2000-01-01
dampier01,basketball,GSW,2000-01-01
daniean01,basketball,SAS,2000-01-01
davidko01,basketball,TOT,2000-01-01
davidko01,basketball,CHI,2000-01-01
davidko01,basketball,CLE,2000-01-01
davisan01,basketball,TOR,2000-01-01
davisba01,basketball,CHH,2000-01-01
davisbe01,basketball,PHO,2000-01-01
davisda01,basketball,IND,2000-01-01
davisem01,basketball,SEA,2000-01-01
davishu01,basketball,DAL,2000-01-01
davisma02,basketball,GSW,2000-01-01
davisri01,basketball,CHH,2000-01-01
dayto01,basketball,PHO,2000-01-01
declean01,basketball,CLE,2000-01-01
delnevi01,basketball,MIL,2000-01-01
delkto01,basketball,SAC,2000-01-01
dialde01,basketball,SAS,2000-01-01
dickemi01,basketball,VAN,2000-01-01
divacvl01,basketball,SAC,2000-01-01
doleami01,basketball,ORL,2000-01-01
douglsh01,basketball,NJN,2000-01-01
drewbr01,basketball,HOU,2000-01-01
dudlech02,basketball,NYK,2000-01-01
duncati01,basketball,SAS,2000-01-01
eisleho01,basketball,UTA,2000-01-01
ekeziob01,basketball,VAN,2000-01-01
eliema01,basketball,SAS,2000-01-01
elliose01,basketball,SAS,2000-01-01
ellisda01,basketball,TOT,2000-01-01
ellisda01,basketball,MIL,2000-01-01
ellisda01,basketball,CHH,2000-01-01
ellisla01,basketball,ATL,2000-01-01
ellispe01,basketball,BOS,2000-01-01
eschmev01,basketball,NJN,2000-01-01
ewingpa01,basketball,NYK,2000-01-01
farmeto01,basketball,GSW,2000-01-01
feickja01,basketball,NJN,2000-01-01
ferryda01,basketball,CLE,2000-01-01
finlemi01,basketball,DAL,2000-01-01
fishede01,basketball,LAL,2000-01-01
fortsda01,basketball,BOS,2000-01-01
fostegr01,basketball,SEA,2000-01-01
fosteje01,basketball,IND,2000-01-01
foxri01,basketball,LAL,2000-01-01
foylead01,basketball,GSW,2000-01-01
francst01,basketball,HOU,2000-01-01
fulleto02,basketball,CHH,2000-01-01
fundela01,basketball,SAC,2000-01-01
garneke01,basketball,MIN,2000-01-01
garrede01,basketball,MIN,2000-01-01
garriki01,basketball,ORL,2000-01-01
garripa01,basketball,ORL,2000-01-01
gatlich01,basketball,TOT,2000-01-01
gatlich01,basketball,ORL,2000-01-01
gatlich01,basketball,DEN,2000-01-01
geigema01,basketball,PHI,2000-01-01
georgde01,basketball,LAL,2000-01-01
gillke01,basketball,NJN,2000-01-01
gilliar01,basketball,UTA,2000-01-01
glovedi01,basketball,ATL,2000-01-01
grantbr01,basketball,POR,2000-01-01
grantga01,basketball,POR,2000-01-01
grantho01,basketball,SEA,2000-01-01
grayde01,basketball,HOU,2000-01-01
greenac01,basketball,LAL,2000-01-01
griffad01,basketball,BOS,2000-01-01
guglito01,basketball,PHO,2000-01-01
hamda01,basketball,MIL,2000-01-01
hamilri01,basketball,WAS,2000-01-01
